SimulationName	SimulationDate	Date	Day	Month	Year	JulianDay	idZone	zoneName	idCell	x	y	monthYield	monthLai	monthEai	monthBiomass	monthDirectPar	monthDiffusePar	monthDirectParIntercepted	monthDiffuseParIntercepted	monthDirectParIncident	monthDiffuseParIncident	monthRelativeDirectParIncident	monthRelativeDiffuseParIncident	monthRelativeTotalParIncident	monthVisibleSky	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	1	0.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.73824e+01	2.80000e+01	2.34579e-01	1.62112e-01	1.91337e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	2	1.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.71480e+01	2.80000e+01	2.32570e-01	1.62112e-01	1.90527e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	3	2.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.73487e+01	2.80000e+01	2.34290e-01	1.62112e-01	1.91220e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	2	TLV-AF	4	3.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.75691e+01	2.80000e+01	2.36178e-01	1.62112e-01	1.91981e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	5	4.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.75568e+01	2.80000e+01	2.36073e-01	1.62112e-01	1.91939e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	6	5.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.75057e+01	2.80000e+01	2.35634e-01	1.62112e-01	1.91762e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	7	6.0000000000000000e+00	2.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.74455e+01	2.80000e+01	2.35119e-01	1.62112e-01	1.91555e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	8	0.0000000000000000e+00	1.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.75474e+01	2.80000e+01	2.35992e-01	1.62112e-01	1.91907e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	9	1.0000000000000000e+00	1.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.75279e+01	2.80000e+01	2.35825e-01	1.62112e-01	1.91839e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	10	2.0000000000000000e+00	1.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.74606e+01	2.80000e+01	2.35248e-01	1.62112e-01	1.91607e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	2	TLV-AF	11	3.0000000000000000e+00	1.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.70197e+01	2.80000e+01	2.31471e-01	1.62112e-01	1.90083e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	12	4.0000000000000000e+00	1.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.71217e+01	2.80000e+01	2.32345e-01	1.62112e-01	1.90436e-01	2.70013e+01	
agroforestry	Thu Nov 20 13:18:09 CET 2025	28/1/2020	28	1	2020	28	1	Main-AF	13	5.0000000000000000e+00	1.0000000000000000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.16730e+02	1.72720e+02	0.00000e+00	0.00000e+00	2.73232e+01	2.80000e+01	2.34071e-01	1.62112e-01	1.91132e-01	2.70013e+01	
