
SimulationName	Date	Day	Month	Year	JulianDay	idCell	x	y	cropSpeciesName	cropType	biomassMax	heightMax	rootDepthMax	laiMax	eaiMax	yieldMax
monocrop	1/1/1995	1	1	1995	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	7.41688e-02	9.70722e-02	8.01809e-01	1.33698e-01	0.00000e+00	0.00000e+00
monocrop	1/1/1996	1	1	1996	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.59743e+01	9.10024e-01	1.68386e+00	3.03869e+00	3.88908e+00	5.31582e+00
monocrop	1/1/1997	1	1	1997	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.24081e+01	7.96191e-01	1.47162e+00	1.80821e+00	3.01612e+00	3.74918e+00
monocrop	1/1/1998	1	1	1998	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.24389e+01	7.70626e-01	1.41369e+00	1.76566e+00	2.98235e+00	4.17434e+00
monocrop	1/1/1999	1	1	1999	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.47856e+01	8.59259e-01	1.44782e+00	2.40040e+00	3.68455e+00	4.74890e+00
monocrop	1/1/2000	1	1	2000	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.03359e+01	6.22933e-01	1.30929e+00	1.30539e+00	2.67357e+00	2.81410e+00
monocrop	1/1/2001	1	1	2001	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.26496e+01	7.98130e-01	1.41365e+00	1.86878e+00	3.06948e+00	4.05514e+00
monocrop	1/1/2002	1	1	2002	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.27668e+01	8.77894e-01	1.41122e+00	2.56984e+00	2.87218e+00	4.37006e+00
monocrop	1/1/2003	1	1	2003	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.29922e+01	7.42896e-01	1.40144e+00	1.79585e+00	3.16351e+00	4.24604e+00
monocrop	1/1/2004	1	1	2004	1	1	0.00000e+00	0.00000e+00	durum-wheat	mainCrop	1.37330e+01	8.99893e-01	1.56699e+00	2.64785e+00	3.26447e+00	4.04841e+00
