file	name	definition	unit	example	type	min	max	accepted	stics.name
SIM	nbSimulations	Number of simulations (i.e. number of years to simulate)	NA	5	integer	1	100	NA	NA
SIM	simulationYearStart	Simulation year start. This year must be present in the weather file.	Year	1995	integer	1	NA	NA	NA
SIM	simulationDayStart	"Simulation day of year start. Care must be taken when specifying this value to ensure that, for annual crops, all crop activities (sowing, fertilization, irrigation, tillage, harvest, etc.) must occur within 1 year of this day. For example,  if the simulation starts on day 1 (Jan 1), but winter wheat is not sown until day 350, then the crop will only grow for 15 days, with whatever grop is growing in simulation year 2 being initialized at that point. Therefore, the simulation should begin only a short time before the sowing of the initial crop. "	DOY	290	integer	1	365	NA	NA
SIM	simulationNbrDays	"Number of days per simulation to run (separated with , to change this for each simulation run). Normally, this is left at 365 so that each STICS ""simulation"" spans a full year. However, shorter values can be used to run multiple crops per year, although in this case unit for simulation length is no longer 1 year."	days	365	integer	1	365	NA	NA
SIM	saveProjectOption	"Option to save project file at end of simulation, which allows continuing a new simulation from this point."	"0 = no, 1 = yes "	1	integer	0	1	NA	NA
SIM	projectFileName	The name of the prj file (exported by a previous Hi-sAFe simulation) from which to initialize this simulation. This is a relative path to the simulation folder. 	NA	Sim_1.prj	character	NA	NA	NA	NA
SIM	debugMode	"If 1, prints daily outputs to log file. If 0, only annual outputs are printed to log file."	NA	0	integer	0	1	NA	NA
SIM	sticsReport	"If 1, a STICS simulation report is exported for each cell in each year. If 0, the reports are not exported. Reports are exported one per year per cell. These reports contain annual water and nitrogen budgets, among other metrics. Exporting reports drastically slows simulations."	NA	0	integer	0	1	NA	NA
SIM	mainCropSpecies	"Name of the main alley crop plt file. Crop sucession/rotation can be generated by using , to separate multiple file names."	NA	durum-wheat.plt	character	NA	NA	NA	NA
SIM	interCropSpecies	"Name of the interCrop plt file for the ""leave area"" within the tree rows. Crop sucession/rotation can be generated by using , to separate multiple file names."	NA	baresoil.plt	character	NA	NA	NA	NA
SIM	mainCropItk	"Name of the main alley crop tec file. Crop sucession/rotation can be generated by using , to separate multiple file names. The tec files used here will be applied in the designated year regardless of if the name matches the corresponding plt file."	NA	durum-wheat.tec	character	NA	NA	NA	NA
SIM	interCropItk	"Name of the interCrop tec file for the ""leave area"" within the tree rows. Crop sucession/rotation can be generated by using , to separate multiple file names. The tec files used here will be applied in the designated year regardless of if the name matches the corresponding plt file."	NA	baresoil.tec	character	NA	NA	NA	NA
SIM	treeCropDistance	"Perpendicular distance from the tree, within which is interCrop and beyond which is mainCrop. If this distance does not end on a cell boundary, the distance is rounded up to the next cell boundary."	m	0.5	real	0	NA	NA	NA
