profile	name	stics.name	unit	definition
annualPlot	Date	NA	mm-dd-yyyy	Date
annualPlot	Year	NA	calendar year	Year
annualPlot	Month	NA	MM	Month
annualPlot	Day	NA	DD	Day of the month
annualPlot	JulianDay	NA	1-366	Julian day (day of year)
annualPlot	annualParIncident	NA	Moles PAR m-2	Annual cumulation of PAR incident on the plot
annualPlot	annualParInterceptedByTrees	NA	Moles PAR m-2	Annual cumulation of  PAR Intercepted by trees  on the plot
annualPlot	annualParInterceptedByCrops	NA	Moles PAR m-2	Annual cumulation of PAR Intercepted by crops  on the plot
annualPlot	annualWaterAddedByWaterTable	NA	liters	Annual cumulation of water added by waterTable  on the plot
annualPlot	annualRainTransmittedByTrees	NA	liters	Annual cumulation of rain transmitted by trees  on the plot
annualPlot	annualRainTransmittedByCrops	NA	liters	Annual cumulation of rain transmitted by crops  on the plot
annualPlot	annualIrrigation	NA	liters	Annual cumulation of  Irrigation  on the plot
annualPlot	annualWaterUptakeByTrees	NA	liters	Annual cumulation of water uptake by trees  on the plot
annualPlot	annualWaterUptakeByCrops	NA	liters	Annual cumulation of annual water uptake by crops  on the plot
annualPlot	annualEvaporation	NA	liters	Annual cumulation of  soil evaporation  on the plot
annualPlot	annualSurfaceRunOff	NA	liters	Annual cumulation of surface RunOff  on the plot
annualPlot	annualDrainageBottom	NA	liters	Annual cumulation of  drainage bottom  on the plot
annualPlot	annualDrainageArtificial	NA	liters	Annual cumulation of drainage artificial  on the plot
annualPlot	annualRainInterceptedByTrees	NA	liters	Annual cumulation of intercepted rain by trees on the plot
annualPlot	annualRainInterceptedByCrops	NA	liters	Annual cumulation of intercepted rain by crops on the plot
annualPlot	annualFertilisationMineral	NA	kg N ha-1	Annual cumulation of mineral ferlizations  on the plot
annualPlot	annualFertilisationOrganic	NA	kg N ha-1	Annual cumulation of organic ferlizations  on the plot
annualPlot	annualNitrogenRain	NA	kg N ha-1	Annual cumulation of nitrogen from rain  on the plot
annualPlot	annualNitrogenIrrigation	NA	kg N ha-1	Annual cumulation of nitrogen from irrigation  on the plot
annualPlot	annualNitrogenUptakeByTrees	NA	kg N 	Annual cumulation of nitrogen uptake by trees  on the plot
annualPlot	annualNitrogenUptakeByCrops	NA	kg N 	Annual cumulation of nitrogen uptake by crops  on the plot
annualPlot	annualNitrogenRunOff	NA	kg N ha-1	Annual cumulation of nitrogen RunOff  on the plot
annualPlot	annualNitrogenLeachingBottom	NA	kg N ha-1	Annual cumulation of nitrogen Leaching Bottom  on the plot
annualPlot	annualNitrogenLeachingWaterTable	NA	kg N ha-1	Annual cumulation of nitrogen Leaching to WaterTable  on the plot
annualPlot	annualWaterUptakeInSaturationByTrees	NA	kg N ha-1	Annual cumulation of water uptake by trees  on saturated voxels of the plot
annualPlot	annualWaterUptakeInSaturationByCrops	NA	kg N ha-1	Annual cumulation of water uptake by crops  on saturated voxels of the plot
annualTrees	Date	NA	mm-dd-yyyy	Date
annualTrees	Year	NA	calendar year	Year
annualTrees	Month	NA	MM	Month
annualTrees	Day	NA	DD	Day of the month
annualTrees	JulianDay	NA	1-366	Julian day (day of year)
annualTrees	idTree	NA	NA	Id of the tree
annualTrees	age	NA	years	Age of tree since planting
annualTrees	dbh	NA	cm	Tree diameter at breast height
annualTrees	height	NA	m	tree height
annualTrees	leafAreaMax	NA	m2	laiAboveCells
annualTrees	crownBaseHeight	NA	m	Tree crown base height (i.e. pruned height, bole height)
annualTrees	crownRadiusInterRow	NA	m	Tree inter-row crown radius (crown radius in the X direction)
annualTrees	crownRadiusTreeLine	NA	m	Tree crown radius parallel to the tree line (crown radius in the Y direction)
annualTrees	crownRadiusVertical	NA	m	Tree crown vertical radius
annualTrees	crownVolume	NA	m3	Tree crown volume
annualTrees	branchVolume	NA	m3	Tree branches volume
annualTrees	stemVolume	NA	m3	Tree stem volume
annualTrees	stemYield	NA	kg	Tree stem biomass
annualTrees	budburstDate	NA	NA	Date of budburst
annualTrees	leafExpansionEndingDate	NA	NA	Date of leaf Expansion End
annualTrees	leafFallStartingDate	NA	NA	Date of leaf Fall Start
annualTrees	leafFallEndingDate	NA	NA	Date of leaf Fall End
annualTrees	carbonFoliageMax	NA	kg	Carbon foliage pool max
annualTrees	carbonBranches	NA	kg C	Carbon pool in tree branches
